,Unnamed: 0_x,Unnamed: 0.1,Name_x,Event Date,Event Type,COSPAR ID,Catalogued Objects,Objects on Orbit,Objects > 1 cm,Objects > 10 cm,Last Update,Unnamed: 10,Unnamed: 0_y,#JCAT,Satcat,Piece,Type,Name_y,LDate,SDate,Primary,DDate,Status,Owner,State,Manufacturer,Mass,MassFlag,DryMass,DryFlag,TotMass,TotFlag,Length,LFlag,Diameter,DFlag,Span,SpanFlag,Shape,ODate,Perigee,PF,Apogee,AF,Inc,IF,OpOrbit,LYear,DYear,OBJECT_ID,NORAD_CAT_ID,COUNTRY,RCS_SIZE,large_event
305,305,,FUSE,06 Jun 2004,Anomalous,1999-035A,9.0,,,,04 Dec 2017,,25769.0,S25791,25791.0,1999-035A,P           ,FUSE,1999 Jun 24,1999 Jun 24 1700,Earth,2100,O,GSFC,US,OSCG,1130.0, ,1130.0, ,1130.0, ,5.5, ,1.2, ,6.0, ,Box + 2 Pan,1999 Jul 24,753.0, ,     770, ,24.98, ,LEO/E,1999.0,2100.0,1999-035A,25791.0,US,LARGE,0.0
306,306,,H-8 (Long March (CZ) 3),17 May 1992,Unknown,1986-010B,7.0,3.0,282.0,8.0,24 Oct 2018,,16507.0,S16528,16528.0,1986-010B,R3          ,CZ-3 Stage 3,1986 Feb  1,1986 Feb  1 1248,Earth,2100,O,MAI,CN,BWYIC,5000.0,?,2000.0, ,2000.0,?,7.5, ,2.3, ,7.5, ,Cyl,1986 Apr  2,425.0, ,   35556, ,30.8, ,GTO,1986.0,2100.0,1986-010B,16528.0,PRC,LARGE,0.0
307,307,,Seasat 1,22 Nov 1987,Anomalous,1978-064A,16.0,,,,04 Dec 2017,,10958.0,S10967,10967.0,1978-064A,P           ,Seasat 1,1978 Jun 27,1978 Jun 27,Earth,2100,O,NASA/JPL,US,LMSC,1290.0,?,1290.0,?,2290.0, ,12.0, ,1.5, ,12.0, ,Cyl + 3 Pan,1978 Aug  4,775.0, ,     797, ,108.02, ,LEO/R,1978.0,2100.0,1978-064A,10967.0,US,LARGE,1.0
308,308,,Boost motor (USA 89) (Discovery (OV-103)),30 Jun 1997,Unconfirmed,1992-086C,13.0,13.0,,,04 Dec 2017,,22497.0,S22519,22519.0,1992-086C,C -M-S- C   ,USA 89 PKM,1992 Dec  2,1992 Dec 15 2130?,Earth,2100,O,USAF,US,THKU,3660.0,?,200.0,?,0.0, ,2.5, ,1.4, ,2.5, ,Cyl + Cone,1997 Nov 21,373.0, ,    7265, ,56.94, ,MEO,1992.0,2100.0,1992-086C,22519.0,US,,1.0
309,309,,L-14B (YF40B) (Long March (CZ) 4B),14 May 2012,Unknown,2011-079B,4.0,4.0,,,04 Dec 2017,,38017.0,S38039,38039.0,2011-079B,R3          ,CZ-4B Y15 Stage 3,2011 Dec 22,2011 Dec 22 0338,Earth,2100,O,CNSA,CN,SAST,17000.0,?,1000.0,?,1000.0,?,7.5, ,2.9, ,7.5, ,Cyl,2011 Dec 29,474.0, ,768, ,98.44, ,LEO/S,2011.0,2100.0,2011-079B,38039.0,PRC,LARGE,0.0
310,310,,Transit 5C,15 May 1994,Anomalous,1964-026A,4.0,,,,04 Dec 2017,,800.0,S00801,801.0,1964-026A,P           ,Transit VC,1964 Jun  4,1964 Jun  4 0402?,Earth,2100,O,USN,US,APL,54.0, ,54.0, ,54.0, ,0.3, ,0.5, ,30.0, ,Oct Cyl + 4 Pan + Ant,1964 Jul 14,862.0, ,     945, ,90.5, ,LEO/P,1964.0,2100.0,1964-026A,801.0,US,LARGE,0.0
311,311,,Snapshot (NPP) + Atlas SLV-3 Agena D stage 2 fragmentation debris,15 Mar 1983,Anomalous,1965-027A,157.0,157.0,,,04 Dec 2017,,1313.0,S01314,1314.0,1965-027A,P AN        ,SNAPSHOT-1,1965 Apr  3,1965 Apr  3 2208,Earth,2100,AO,USAF/AEC,US,RCA,422.0, ,422.0, ,2386.0, ,5.0,?,1.5, ,5.0,?,Cone + Cyl,1965 May  8,1273.0, ,    1318, ,90.21, ,LEO/P,1965.0,2100.0,1965-027A,1314.0,US,LARGE,1.0
312,312,,L-14B (YF40B) (Long March (CZ) 4B),10 May 2012,Unknown,2012-021C,2.0,,,,04 Dec 2017,,38237.0,S38259,38259.0,2012-021C,R3          ,CZ-4B Y12 Stage 3,2012 May 10,2012 May 10 0719,Earth,2013 Feb 27 0915?,R,CNSA,CN,SAST,1000.0,?,1000.0,?,1000.0,?,7.5, ,2.9, ,7.5, ,Cyl,2012 May 12,327.0, ,471, ,97.17, ,LLEO/S,2012.0,2013.0,2012-021C,38259.0,PRC,LARGE,0.0
313,313,,Cosmos-1769,21 Sep 1987,Unknown,1986-059A,3.0,,282.0,8.0,24 Oct 2018,,16874.0,S16895,16895.0,1986-059A,P           ,Kosmos-1769,1986 Aug  4,1986 Aug  4 0512,Earth,1988 Feb 18,D,VMF,SU,ARSL/KOMET,3300.0, ,3000.0,?,3300.0, ,10.0, ,1.3, ,17.0, ,Cyl + 2 Pan,1986 Sep  3,429.0, ,     442, ,65.02, ,LLEO/I,1986.0,1988.0,1986-059A,16895.0,CIS,LARGE,0.0
314,314,,H10+ (Ariane 44L H10+),21 Apr 1993,Propulsion,1992-021C,17.0,16.0,1599.0,42.0,24 Oct 2018,,21919.0,S21941,21941.0,1992-021C,R3          ,Ariane H10+ V50,1992 Apr 15,1992 Apr 15 2343,Earth,1993 Apr 21,E,AE,F,AELM,2260.0, ,2080.0, ,2260.0, ,14.1, ,2.6, ,14.1, ,Step Cyl,1992 May 15,356.0, ,   36185, ,3.98, ,GTO,1992.0,1993.0,1992-021C,21941.0,FR,LARGE,1.0
